Apps,SubIn,Goals,Assists,AverageGoalspermatch,AverageAssistspermatch,Yellow,Red,SpG,AW,Tackle,Int,Fouls,OffWon,Clr,WasDribbled,BlkShots,OG,KeyPasses,Dribbles,Fouled,Offs,Disp,Trn,Avg.Passes,"PassSuc%",Crosses,LB,TB,"Ballond'OrNominee"
16.00,2.00,3.00,2.00,0.1666666667,0.1111111111,9.00,0.00,0.8,1.1,2.4,0.9,1.8,0.00,0.5,1.1,0.1,0.00,0.8,0.4,1.6,0.00,1.00,1.00,40.00,84.6,0.2,2.3,0.00,No
23.00,0.00,15.00,7.00,0.652173913,0.3043478261,1.00,0.00,1.8,1.9,0.7,0.6,0.8,0.00,0.6,0.7,0.00,0.00,2.2,0.7,1.1,0.4,1.00,1.6,41.3,76.1,1.00,2.8,0.1,No
21.00,2.00,1.00,1.00,0.0434782609,0.0434782609,2.00,0.00,0.5,2.8,1.3,2.5,1.1,0.4,3.7,0.5,0.6,0.00,0.2,0.1,0.6,0.00,0.1,0.4,57.9,82.7,0.00,5.2,0.1,No
26.00,10.00,8.00,3.00,0.222222,0.833333,10.00,0.00,1.12308,0.6,0.4384615385,0.107692308,1.47692308,0.00,0.2538461538,0.1461538462,0.0538461538,0.00,0.8769230769,0.3307692308,0.8384615385,0.6923076923,0.9692307692,1.5,15.7615384615,72.2769230769,0.0461538462,0.1923076923,0.0461538462,No
30.00,1.00,20.00,3.00,0.6451612903,0.0967741935,6.00,0.00,2.9,2.1,0.5,0.1,1.4,0.00,1.5,0.4,0.2,0.00,0.8,0.8,1.00,1.2,1.6,2.00,19.6,74.5,0.00,0.4,0.1,No
28.00,5.00,15.00,1.00,0.4545454545,0.0303030303,2.00,0.00,1.6,4.7,0.5,0.1,1.5,0.00,1.1,0.5,0.1,0.00,0.8,0.3,0.9,0.4,1.6,1.9,27.3,66.4,0.1,0.5,0.00,No
31.00,3.00,5.00,7.00,0.1470588235,0.2058823529,2.00,0.00,2.00,0.5,0.2,0.00,1.7,0.00,0.5,0.2,0.1,0.00,1.6,2.00,2.00,0.3,2.7,3.1,23.1,81.4,0.1,2.00,0.1,No
32.00,5.00,12.00,2.00,0.3243243243,0.0540540541,6.00,0.00,2.7,1.5,0.6,0.1,2.5,0.1,0.8,0.4,0.1,0.00,0.4,1.1,0.9,0.9,1.4,2.5,11.6,67.3,0.1,0.2,0.00,No
33.00,5.00,3.00,6.00,0.07895,0.15789,4.00,0.00,1.82727,0.127272727,0.65454545,0.4545455,0.8727272727,0.00,0.2909090909,0.6181818182,0.0909090909,0.00,1.9818181818,0.9636363636,1.1090909091,0.27272727,2.145454545,1.709090909,31.69090909,79.4727272727,1.4363636364,0.74545455,0.2727272727,No
22.00,12.00,10.00,4.00,0.2941176471,0.1176470588,0.00,0.00,1.3,1.8,0.6,0.1,1.2,0.00,0.2,0.6,0.1,0.00,0.6,0.5,1.1,0.7,1.6,1.8,10.8,69.8,0.1,0.1,0.00,No
27.00,4.00,8.00,7.00,0.2580645161,0.2258064516,3.00,0.00,1.6,0.7,1.6,0.6,0.5,0.00,0.7,1.3,0.1,0.00,1.4,1.1,1.00,0.4,1.7,1.6,45.4,84.3,0.3,0.9,0.1,No
28.00,6.00,12.00,3.00,0.3529411765,0.0882352941,2.00,0.00,2.314285714,1.242857143,0.3714285714,0.357142857,1.257142857,0.00,0.2142857143,0.2142857143,0.0285714286,0.00,0.6,0.5285714286,1.514285714,0.7571428571,1.042857143,1.542857143,18.81428571,73.05714286,0.0285714286,0.5,0.00,No
31.00,4.00,9.00,2.00,0.2571428571,0.0571428571,6.00,0.00,1.8,0.3,0.8,0.3,1.3,0.00,0.1,0.6,0.00,0.00,1.9,1.7,2.6,0.3,1.8,1.5,29.3,79.6,1.7,1.4,0.00,No
35.00,9.00,13.00,6.00,0.295454545,0.136363636,0.00,0.00,1.8342857143,0.6542857143,1.3542857143,0.934285714,0.8514285714,0.00,0.3171428571,0.554285714,0.00,0.00,1.86,1.8485714286,1.2228571429,0.1,1.5142857143,1.788571429,33.7571428571,82.3057142857,1.5028571429,0.5142857143,0.1,No
1.00,0.00,2.00,1.00,2.00,1.00,3.00,5.00,0.7,2.3,1.7,1.2,1.00,0.8,5.3,0.5,0.9,1.00,0.3,0.1,0.6,0.00,0.1,0.2,57.3,86.3,0.1,7.1,0.00,No
33.00,1.00,5.00,2.00,0.1470588235,0.0588235294,9.00,0.00,1.6,4.4,2.1,0.7,2.00,0.00,0.6,1.2,0.3,0.00,1.00,1.1,2.00,0.2,2.9,2.00,35.5,67.1,0.2,1.4,0.00,No
19.00,10.00,9.00,0.00,0.3103448276,0.00,3.00,1.00,1.7,0.6,0.9,0.3,0.8,0.00,0.3,0.9,0.1,0.00,0.6,1.00,1.4,0.3,2.00,2.00,22.4,78.6,0.1,0.4,0.00,No
30.00,6.00,3.00,4.00,0.0833333333,0.1111111111,4.00,0.00,1.6,0.1,2.1,1.2,0.5,0.00,0.5,1.5,0.1,0.00,1.4,1.9,1.00,0.1,2.2,1.7,19.00,75.2,1.6,0.4,0.00,No
34.00,1.00,1.00,2.00,0.0285714286,0.0571428571,14.00,0.00,0.7,0.3,1.5,1.1,1.7,0.1,0.5,1.00,0.2,0.00,0.5,1.00,1.5,0.00,1.1,1.2,70.8,91.4,0.1,2.7,0.00,No
26.00,6.00,13.00,3.00,0.40625,0.09375,3.00,0.00,1.8,0.7,0.3,0.00,1.1,0.00,0.3,0.3,0.00,0.00,0.6,0.5,0.7,1.00,1.00,1.7,11.9,76.1,0.00,0.3,0.00,No
28.00,3.00,0.00,2.00,0.00,0.064516129,6.00,0.00,0.2,0.4,1.6,1.5,0.5,0.1,1.3,0.4,0.1,0.00,0.6,1.1,0.7,0.2,0.9,0.9,37.6,83.00,0.5,1.5,0.00,No
14.00,5.00,1.00,0.00,0.052631579,0.00,3.00,0.00,0.3078947368,0.8052631579,1.5394736842,1.693421053,0.9078947368,0.00,1.1644736842,0.753947368,0.1539473684,0.00,0.20526316,0.3078947368,0.5092105263,0.00,0.5486842105,0.446052632,48.4171052632,90.3592105263,0.0513157895,3.3434210526,0.00,No
32.00,3.00,13.00,3.00,0.3714285714,0.0857142857,3.00,0.00,3.3,0.2,0.1,0.3,0.3,0.00,0.1,0.1,0.00,0.00,0.8,0.5,1.1,0.9,1.3,1.1,19.6,78.1,0.2,0.5,0.00,No
27.00,0.00,0.00,2.00,0.00,0.074074074,8.00,0.00,0.255555556,1.244444444,2.00,1.555555556,0.9259259259,0.703703704,4.6925925926,0.385185185,0.81111111,0.00,0.17037037,0.00,0.4592592593,0.0444444444,0.4148148148,0.47037037,36.9074074074,82.2518518519,0.00,2.3,0.00,No
38.00,8.00,6.00,6.00,0.130434783,0.130434783,4.00,0.00,1.8,0.813913043,0.8782608696,0.347826087,0.747826087,0.00,0.3173913043,0.4826086957,0.00,0.00,0.9826086957,1.2347826087,1.2260869565,0.552173913,2.1347826087,1.9173913043,20.4347826087,68.3391304348,0.6347826087,0.347826087,0.0826086957,No
