"SubIn","Goals","Assists","AverageGoalspermatch","AverageAssistspermatch","Yellow","Red","SpG","AW","Tackle","Int","Fouls","OffWon","Clr","WasDribbled","BlkShots","OG","KeyPasses","Dribbles","Fouled","Offs","Disp","Trn","Avg.Passes","PassSuc%","Crosses","LB","TB","Ballond'OrNominee"
3,15,3,"0.454545455","0.090909091",2,0,"2.333333333","0.824242424","1.696969697","0.6","0.993939394",0,"0.23030303","0.284848485",0,1,"1.084848485","1.484848485","1.109090909","1.478787879","3.212121212","2.16969697","21.27272727","76.11515152","0.115151515","0.521212121","0.254545455","No"
10,13,2,"0.40625","0.0625",3,0,"1.8","1.9","0.7","0.4","1.1",0,"0.3","0.2","0.2",0,"0.9","0.5","2.1","0.5","1.1","1.3",24,"69.6","0.1","0.5","0.1","No"
0,13,6,"0.40625","0.1875",7,0,"2.7","2.9","0.6","0.1",3,0,"1.3","0.1","0.3",0,1,"0.6","1.7",1,"2.7","2.1","22.2","69.3","0.1","0.4","0.2","No"
15,2,1,"0.071428571","0.035714286",0,0,1,"0.6","0.2","0.1","0.4",0,"0.1","0.1",0,0,"0.3","0.4",1,"0.4","1.5","1.1",11,"68.8",0,"0.2",0,"No"
9,8,4,"0.235294118","0.117647059",3,0,"1.4","1.8","1.1","0.2","1.3",0,"0.5","0.3","0.1",0,"0.8","0.4","1.7","0.6","1.4","1.9","15.6","69.7","0.2","0.7",0,"No"
8,15,3,"0.357142857","0.071428571",4,0,"3.161904762","0.180952381","0.480952381","0.319047619","0.738095238",0,"0.080952381","0.238095238",0,0,"0.823809524","0.380952381","0.738095238","0.519047619","1.257142857","1.666666667","13.45238095","84.31904762",0,"0.319047619","0.161904762","No"
1,10,0,"0.416666667",0,2,0,"2.5",3,"0.9","0.3","1.8",0,1,"0.6",0,1,"1.2","0.4","1.8","0.3","1.3","1.5","16.2","67.5",0,"0.3","0.1","No"
9,18,5,"0.428571429","0.119047619",2,0,"3.014285714","1.119047619","0.176190476","0.176190476","1.328571429",0,"0.647619048","0.2","0.023809524",0,"0.664285714","0.711904762","2.071428571","1.711904762","1.864285714","2.447619048","19.49285714","74.76666667",0,"0.576190476",0,"No"
10,22,7,"0.4","0.127272727",4,1,2325,"2.530909091","0.834545455","0.256363636","1.390909091",0,"0.818181818","0.298181818",0,0,"1.145454545","1.3","1.318181818","0.834545455","2.101818182","2.029090909","20.37818182","73.66909091","0.332727273","0.627272727","0.081818182","No"
0,5,1,"0.128205128","0.025641026",2,0,"0.425641026","1.861538462","0.487179487","0.312820513","0.725641026",0,"0.087179487","0.225641026",0,0,"0.848717949","0.387179487","0.725641026","0.512820513","1.238461538","1.579487179","13.27179487","84.57435897",0,"0.312820513","0.174358974","No"
17,5,1,"0.135135135","0.027027027",3,0,"1.527027027","0.878378378","1.172972973","0.705405405","1.008108108",0,"0.464864865","0.881081081","0.048648649",0,"0.32972973","0.894594595","1.464864865","0.405405405","1.532432432","0.97027027","13.72972973","82.35405405","0.091891892","0.540540541",0,"No"
6,2,4,"0.05","0.1",5,0,"0.74",915,"2.7",1415,"1.61",85,"0.63","0.53",15,0,1665,1935,1215,0,1285,"0.84",49195,90735,0,"3.24","0.1","No"
2,26,7,"0.65",175,2,0,"3.33","4.86",1055,615,"2.33",0,"0.87","0.81",85,0,1925,1425,2945,"1.16",2295,"2.02","25.97","67.18","0.17","0.67",85,"No"
0,1,1,"0.1","0.1",2,0,"0.5","2.1","2.6","1.9","0.7","0.6","5.5","0.7","0.4",0,"0.4","0.6","1.2","0.5","0.2","0.3","34.8","83.3","0.1","3.1",0,"No"
0,7,3,"0.269230769","0.115384615",7,0,"2.5","0.2",3,"0.9","0.7",0,"0.2","0.7",0,0,"1.9","1.7","1.3","0.5","2.1","1.5","39.4","80.5","1.4","2.2","0.1","No"
0,1,1,"0.027777778","0.027777778",4,0,"0.7","1.1","2.9","2.2","1.2","0.2","1.7","0.8","0.2",0,"0.4","0.4","2.2",0,1,"0.5","44.3","82.8",0,"3.4",0,"No"
0,7,11,"0.2","0.314285714",6,0,"2.1","0.4","1.7","0.6","0.9",0,"0.2","0.7","0.1",0,"2.3","1.9","2.9","0.1",2,"0.9","40.8","79.9","1.2","1.9","0.1","No"
3,10,8,"0.37037037","0.296296296",4,0,"1.9","0.3",1,"0.5","1.4",0,"0.3","0.3",0,0,"2.2","0.4",1,"0.1","1.2","1.1","29.9","71.4","2.3","1.7","0.3","No"
0,1,3,"0.027777778","0.083333333",5,0,"1.1","1.1","2.6","2.9","1.8","0.1","2.4","0.9","0.1",1,"1.1","0.9",1,"0.1","0.7","0.8","34.2","74.4","1.6","0.8",0,"No"
1,11,3,"0.314285714","0.085714286",2,0,"2.5","0.2","0.8","0.3",1,0,"0.3","0.4",0,0,"1.1","1.2","3.1","0.6","2.9","1.9","21.3","76.8","0.6","0.9","0.1","No"
0,1,0,"0.034482759",0,6,0,"0.8","3.9","3.5","2.4","1.8","1.6","6.2",1,"0.4",0,"0.2",1,"1.8",0,"0.5","0.3","38.9","79.1","0.1","4.3","0.1","No"
2,12,2,"0.363636364","0.060606061",4,0,"2.4","1.6","0.9",1,"0.7",0,"0.4","0.8","0.1",0,"0.8","1.4","1.3","0.8","1.5","1.1","25.1","77.4","0.1","1.2","0.1","No"
1,0,1,0,"0.043478261",2,0,"0.6","0.7","2.3","2.3","0.6","0.4","3.7","0.5","0.4",0,"0.8","0.4","0.8","0.1",1,"0.5","39.5","76.5","0.8","2.1",0,"No"
1,1,0,"0.033333333",0,3,0,"0.6","1.4",3,"2.7","1.4",0,"2.6","1.2","0.5",0,"0.4","0.6","0.5",0,"1.2","0.8","42.3","75.4",0,3,"0.1","No"
1,64,21,"1.333333333","0.4375",8,0,"5.820833333","0.1","0.6","0.53125","0.814583333",0,"0.077083333","0.254166667",0,0,"2.591666667","4.616666667","2.26875","0.7","2.829166667","1.622916667","67.71875","84.89583333","0.377083333","1.422916667","1.454166667","Yes"
1,59,15,"1.113207547","0.283018868",6,0,"7.041509434","0.837735849","0.547169811","0.509433962","0.743396226",0,"0.596226415","0.181132075","0.090566038",0,"1.524528302","1.513207547","2.113207547","0.856603774","1.788679245","2.120754717","36.88679245","80.32641509","0.505660377","0.939622642","0.452830189","Yes"
6,5,11,"0.12195122","0.268292683",4,0,"2.058536585","0.065853659","1.075609756","0.973170732","0.702439024",0,"0.163414634","0.497560976",0,0,"1.2","1.719512195","1.926829268","0.153658537","1.504878049","1.234146341","62.67073171","89.66585366","0.114634146","1.907317073","0.619512195","Yes"
5,11,10,"0.239130435","0.217391304",3,0,"1.5",0,"0.841304348","0.95","0.265217391",0,"0.134782609","0.213043478","0.039130435",0,"2.373913043","0.506521739","0.815217391","0.019565217","0.923913043","0.582608696","99.90434783","92.82391304","0.982608696","7.25","0.652173913","Yes"
1,24,3,"0.705882353","0.088235294",7,0,"3.6","1.6","0.6","0.3","1.7",0,"0.7","0.2","0.1",0,1,"0.5","1.9","1.2","2.8","1.9",21,"76.6",0,"0.4","0.1","Yes"
0,4,15,"0.093023256","0.348837209",6,0,"2.044186047","0.2","1.974418605","1.769767442","0.758139535",0,"0.544186047","1.258139535","0.155813953",0,"3.31627907","1.155813953","1.995348837",0,"1.844186047","0.630232558","84.18139535","86.94186047","2.430232558","10.89302326","0.844186047","Yes"
9,14,4,"0.378378378","0.108108108",3,1,2875,1425,775,525,"1.5",0,"1.35","0.5",225,0,"1.25",975,1325,625,"2.05",2275,17125,"60.15","0.25","0.5",225,"Yes"
3,35,9,"0.729166667","0.1875",9,0,"4.377083333","0.71875","0.502083333","0.34375","0.866666667","0.04375","1.14375","0.191666667","0.09375",0,"2.108333333","0.947916667","1.0625","1.183333333","2.3125","1.422916667","25.93333333","78.08333333","1.0875",675,"0.335416667","Yes"
0,35,10,"0.813953488","0.23255814",4,1,"4.258139535","1.393023256","0.955813953","0.553488372","1.813953488",0,"1.276744186","0.225581395","0.018604651",0,"2.551162791","1.839534884","1.365116279","1.413953488","2.574418605","1.993023256","44.6627907","76.39302326","0.558139535","1.93255814","0.830232558","Yes"
2,3,10,"0.057692308","0.192307692",19,0,"0.784615385","1.503846154","3.015384615",2,"1.6","0.088461538","0.811538462","1.623076923","0.238461538",0,"1.646153846","0.130769231","0.996153846",0,"0.611538462","0.365384615","80.38461538","88.32692308","0.584615385","8.957692308","0.234615385","Yes"
1,10,7,"0.23255814","0.162790698",9,0,"1.952631579","0.584210526","1.747368421","1.168421053","1.047368421",0,"0.721052632","0.947368421","0.031578947",0,"1.636842105","1.294736842","0.8","0.047368421","0.831578947","0.884210526","75.74210526","90.31052632","0.084210526","5.531578947","0.3","Yes"
0,38,17,"0.974358974","0.435897436",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
5,7,23,"0.14","0.46",5,1,"1.091836735","0.112244898","1.275510204","0.683673469","0.826530612","0.020408163","0.091836735","0.673469388",0,0,"3.153061224","1.153061224","1.632653061","0.367346939","1.867346939","1.979591837","49.89795918","88.79591837","1.336734694","2.316326531","0.632653061","Yes"
2,30,4,"0.75","0.1",2,0,"4.44",785,"0.64",465,945,0,585,"0.37",195,0,1505,"0.98",1025,115,"2.19","1.48","50.89",80235,285,5505,"0.17","Yes"
6,24,8,"0.6","0.2",3,0,3485,85,625,"0.53",615,0,0,"0.37",0,0,"1.64","1.48",905,"0.84",2635,"1.5","24.46",86485,85,385,115,"Yes"
0,4,6,"0.078431373","0.117647059",15,1,"0.780392157","1.619607843","2.315686275","2.033333333","1.854901961","0.590196078","3.988235294","0.364705882","0.484313725",0,"0.507843137","0.178431373","1.001960784","0.133333333","0.398039216","0.519607843","61.13137255","87.38627451","0.133333333","5.654901961","0.111764706","Yes"
3,2,1,"0.042553191","0.021276596",11,0,"0.234042553","0.978723404","2.453191489","2.742553191","0.914893617","0.157446809","1.246808511","0.546808511","0.242553191",0,"0.795744681","0.610638298","2.304255319",0,"0.738297872","0.565957447","76.83829787","91.3893617",0,"4.180851064","0.134042553","Yes"
5,2,1,"0.060606061","0.03030303",8,1,"0.508080808","0.954545455","1.507070707","1.137373737","0.605050505","0.975757576","2.549494949","0.343434343","0.427272727",0,"0.03030303","0.196969697","0.592929293",0,"0.219191919","0.327272727","45.26868687","80.3989899",0,"4.241414141","0.03030303","Yes"
