@RELATION 'training-set'

@ATTRIBUTE Apps NUMERIC
@ATTRIBUTE SubIn NUMERIC
@ATTRIBUTE Goals NUMERIC
@ATTRIBUTE Assists NUMERIC
@ATTRIBUTE AverageGoalspermatch NUMERIC
@ATTRIBUTE AverageAssistspermatch NUMERIC
@ATTRIBUTE Yellow NUMERIC
@ATTRIBUTE Red NUMERIC
@ATTRIBUTE SpG NUMERIC
@ATTRIBUTE AW NUMERIC
@ATTRIBUTE Tackle NUMERIC
@ATTRIBUTE Int NUMERIC
@ATTRIBUTE Fouls NUMERIC
@ATTRIBUTE OffWon NUMERIC
@ATTRIBUTE Clr NUMERIC
@ATTRIBUTE WasDribbled NUMERIC
@ATTRIBUTE BlkShots NUMERIC
@ATTRIBUTE OG NUMERIC
@ATTRIBUTE KeyPasses NUMERIC
@ATTRIBUTE Dribbles NUMERIC
@ATTRIBUTE Fouled NUMERIC
@ATTRIBUTE Offs NUMERIC
@ATTRIBUTE Disp NUMERIC
@ATTRIBUTE Trn NUMERIC
@ATTRIBUTE Avg.Passes NUMERIC
@ATTRIBUTE 'PassSuc%' NUMERIC
@ATTRIBUTE Crosses NUMERIC
@attribute LB numeric
@ATTRIBUTE TB NUMERIC
@ATTRIBUTE "Ballond'OrNominee" {Yes,No}

@DATA
23.00,3.00,7.00,6.00,0.269230769,0.230769231,1.00,0.00,1.192307692,0.338461538,0.923076923,0.807692308,0.419230769,0.0000000000,0.188461538,0.576923077,0.076923077,0.00,1.161538462,0.423076923,1,0.226923077,1.85,1.146153846,43.41923077,89.00769231,0.346153846,1.811538462,0.265384615,No
23.00,4.00,6.00,3.00,0.222222222,0.111111111,3.00,0.00,2.6,0.1,1.3,0.6,1.1,0.0000000000,0.2,0.9,0.0000000000,0.00,1.6,1.4,0.9,0.6,1.7,1.2,21.6,80.8,1.2,0.9,0,No
37.00,0.00,7.00,9.00,0.189189189,0.243243243,3.00,0.00,2.459459459,2.035135135,1.532432432,1.502702703,0.716216216,0.0000000000,0.883783784,1.5,0.116216216,0.00,1.635135135,1.283783784,1.837837838,0.167567568,1.448648649,1.02972973,42.30810811,69.2972973,0.951351351,2.086486486,0.251351351,No
20.00,15.00,8.00,2.00,0.228571429,0.057142857,9.00,0.00,2.35,0.55,0.875000,0.25,0.625000,0.0000000000,0.1,0.15,0.0250000,0.00,0.725000,0.275000,1.2250000,0.0750000,0.375000,1.475000,11.625000,77.55,0.0750000,0.350000,0,No
13.00,8.00,0.00,1.00,0.0000000000,0.047619048,3.00,0.00,0.6,0.8,1.9,1.5,1.2,0.0000000000,0.2,1.0000000000,0.1,0.00,0.9,0.8,1,0.2,1.5,1.1,22.3,80.8,0.3,0.4,0,No
38.00,0.00,8.00,1.00,0.210526316,0.026315789,4.00,0.00,1.6,3.3,0.9,0.7,1.2,0.0000000000,1.3,0.4,0.1,2.00,0.9,0.5,1.4,0.5,1.7,1.8,26.6,68.9,0.4,0.1,0.1,No
31.00,4.00,6.00,7.00,0.171428571,0.2,7.00,1.00,1.214285714,0.877142857,2.308571429,1.068571429,1.262857143,0.0000000000,0.574285714,0.222857143,0.145714286,0.00,1.262857143,1.105714286,1.214285714,0.308571429,1.145714286,1.531428571,26.40285714,79.04857143,0.645714286,0.9,0.077142857,No
20.00,6.00,4.00,6.00,0.153846154,0.230769231,2.00,1.00,1.5,0.6,1.1,0.7,1.1,0.0000000000,0.2,0.5,0.1,0.00,2.3,0.7,1.9,0.1,2,1.4,31.2,77,1.4,1.5,0.3,No
13.00,3.00,0.00,4.00,0.0000000000,0.25,1.00,0.00,2.25,1.2625,1.4375,1.0125,0.6875,0.0000000000,375.0000000000,0.4375,0.0000000000,0.00,0.45,1.1625,0.7125,0,1,1.35,29.2,83.7125,0.5750000,0.625000,0.125000,No
32.00,2.00,10.00,3.00,0.294117647,0.088235294,8.00,0.00,2.7,0.9,1.7,1.0000000000,1.1,0.0000000000,0.3,0.4,0.1,0.00,1.1,0.7,1.1,0.7,0.9,1.2,32.3,80.7,0.5,1,0.1,No
20.00,15.00,8.00,2.00,0.228571429,0.057142857,9.00,0.00,2.35,0.55,875.0000000000,0.25,625.0000000000,0.0000000000,0.1,0.15,25.0000000000,0.00,725,275,1225,75,375,1475,11625,77.55,0.0750000,0.35,0,No
16.00,8.00,7.00,5.00,0.291666667,0.208333333,2.00,0.00,1.675000,0.2250000,0.5750000,0.7,0.2750000,0.0000000000,0.2,0.2,0.0000000000,0.00,0.775000,1.275000,0.575000,0.5500,1.45,1.275000,19.15,84.8,0.0750000,0,0,No
28.00,2.00,0.00,2.00,0.0000000000,0.066666667,11.00,0.00,0.9,0.6,3.2,1.1,2.8,0.0000000000,1.4,1.2,0.2,0.00,0.8,0.9,2.7,0.1,1.7,1.1,33.3,80.2,0.4,1.8,0.1,No
5.00,3.00,0.00,0.00,0.0000000000,0.0000000000,1.00,0.00,1.5,0.3,1.8,0.9,2.0000000000,0.0000000000,0.1,2.0000000000,0.0000000000,0.00,0.6,2,1.5,0.5,1.8,0.9,17.3,76.8,0.6,0.6,0.1,No
14.00,9.00,0.00,0.00,0.0000000000,0.0000000000,1.00,0.00,0.32173913,0.234782609,1.92173913,1.273913043,0.891304348,0.295652174,1.126086957,1.026086957,0.27826087,0.00,0.160869565,0.395652174,0.634782609,0.052173913,0.369565217,0.273913043,23.02608696,77.33043478,0.32173913,1.504347826,0.073913043,No
7.00,4.00,2.00,1.00,0.181818182,0.090909091,1.00,0.00,1.7,1.0000000000,1.0000000000,0.8,0.5,0.1,0.6,0.6,0.1,0.00,0.6,0.9,0.4,0,1,0.5,17.9,78.7,0.3,1.5,0.1,No
18.00,7.00,1.00,0.00,0.04,0.0000000000,10.00,1.00,0.4,1.1,2.4,2.1,1.5,0.0000000000,2.7,1.0000000000,0.4,0.00,0.1,0.2,1,0,0.8,0.6,38.2,76.5,0,4.2,0,No
32.00,3.00,14.00,9.00,0.4,0.257142857,10.00,0.00,2.9,0.6,0.9,0.5,1.2,0.0000000000,0.1,0.3,0.0000000000,0.00,1.6,1.6,2.7,0.6,1.4,1.1,28.6,77.5,1.3,1.1,0.1,No
41.00,2.00,4.00,3.00,0.093023256,0.069767442,8.00,1.00,1.539130435,1.026086957,3.465217391,2.239130435,0.960869565,0.091304348,1.582608696,1.330434783,0.360869565,0.00,1.056521739,0.826086957,1.22173913,0,1.326086957,0.691304348,63.63913043,84.84347826,0.565217391,10.23043478,0.22173913,No
22.00,7.00,7.00,8.00,0.24137931,0.275862069,5.00,0.00,1.9,0.4,1.5,1.2,0.8,0.0000000000,0.2,0.4,0.1,0.00,0.9,1.1,1.5,0.2,1.1,1.4,21,75.5,0.8,1.3,0.2,No
31.00,0.00,11.00,5.00,0.35483871,0.161290323,8.00,0.00,2.9,4.9,2.6,1.2,2.6,0.0000000000,2.1,0.4,0.1,0.00,1.3,0.6,1.5,0.4,2.4,2.5,52.5,79.3,0.1,1.8,0.1,No
27.00,10.00,15.00,11.00,0.405405405,0.297297297,3.00,0.00,2.443243243,0.172972973,0.513513514,0.340540541,0.313513514,0.086486486,0.172972973,0.286486486,0.0000000000,0.00,1.118918919,1.324324324,1.059459459,0.8,1.286486486,0.913513514,15.54594595,82.61351351,0.859459459,0.286486486,0.086486486,No
27.00,0.00,0.00,1.00,0.0000000000,0.037037037,4.00,0.00,0.6,0.9,3.1,2.4,1.6,0.0000000000,1.1,1.7,0.1,0.00,0.7,0.2,0.7,0,0.3,0.6,57.5,80.7,0.1,8.3,0.1,No
10.00,10.00,2.00,2.00,0.1,0.1,1.00,0.00,0.9,0.4,1.8,0.7,1.1,0.1,0.5,0.5,0.2,0.00,0.5,0.6,0.5,0.1,0.5,0.9,21.7,88.9,0.5,0.6,0,No
9.00,2.00,0.00,0.00,0.0000000000,0.0000000000,3.00,1.00,0.6,0.7,3.1,2.2,1.7,0.1,0.6,1.7,0.1,0.00,0.5,1.3,1.5,0,1.4,0.8,31.3,75.6,0,2.7,0,No
23.00,5.00,1.00,4.00,0.035714286,0.142857143,3.00,1.00,0.553571429,0.389285714,1375.0000000000,1.182142857,0.835714286,0.0000000000,0.121428571,0.821428571,0.210714286,0.00,1.835714286,2.285714286,2.121428571,0.178571429,1.317857143,1.032142857,47.94642857,85.82500,0.478571429,2.503571429,0.357142857,No
32.00,1.00,1.00,5.00,0.03030303,0.151515152,7.00,0.00,0.3,1.8,4.0000000000,2.6,1.3,0.2,4.3,1.3,0.2,0.00,0.6,0.8,1.3,0,0.3,0.9,28.9,71.2,0.3,0.6,0.1,No
35.00,9.00,3.00,10.00,0.068181818,0.227272727,7.00,0.00,1.470454545,0.343181818,2.231818182,0.840909091,0.906818182,0.0000000000,0.495454545,0.784090909,0.102272727,0.00,2.254545455,0.572727273,1.059090909,75,1.347727273,1075,42.54318182,83.26363636,1.825000,2.481818182,0.165909091,No
4.00,11.00,1.00,0.00,0.066666667,0.0000000000,1.00,0.00,0.1,0.5,1.4,0.7,0.7,0.1,1.5,0.5,0.0000000000,0.00,0.3,0.4,0.5,0,0.5,0.5,1.5,68,0.3,0.3,0.1,No
39.00,2.00,4.00,14.00,0.097560976,0.341463415,3.00,0.00,1.480487805,0.390243902,0.951219512,0.63902439,1.02195122,0.029268293,0.090243902,0.93902439,0.0000000000,0.00,3.258536585,1.334146341,2.480487805,0.590243902,2.751219512,2.251219512,50.29512195,85.16097561,2.209756098,2.687804878,0.451219512,No
38.00,0.00,5.00,5.00,0.131578947,0.131578947,4.00,0.00,0.9,0.3,2.4,1.5,0.8,0.1,2.0000000000,0.6,0.2,2.00,3.1,0.8,1.5,0,0.9,0.5,43.8,82.3,2.8,1.3,0,No
26.00,2.00,11.00,3.00,0.392857143,0.107142857,3.00,0.00,2.9,0.7,1.8,0.9,0.8,0.0000000000,0.5,1.5,0.1,0.00,2.1,1.8,2.7,0.2,2.6,1.1,42,79.7,1.5,2.9,0.3,No
27.00,1.00,0.00,1.00,0.0000000000,0.035714286,6.00,2.00,0.4,1.5,2.1,1.9,1.9,0.3,3.5,0.5,0.3,0.00,0.6,0.3,1,0,0.9,0.5,31.3,83.9,0.4,1,0,No
31.00,1.00,4.00,10.00,125.0000000000,0.3125,2.00,0.00,1.03125,76.21875,0.9375,0.5,0.65625,0.0000000000,0.1875,0.59375,0.09375,0.00,2625,1.6875,1.40625,0.09375,1.90625,0.9375,34.09375,78.09375,2.40625,2.46875,0.1875,No
31.00,1.00,1.00,3.00,0.03125,0.09375,1.00,0.00,75.0000000000,0.784375,2.59375,2.196875,0.884375,0.434375,1.75625,0.7375,0.359375,1.00,0.5625,0.40625,1.096875,0.2875,0.878125,0.846875,40.86875,75.809375,0.3,1.6625,0,No
27.00,4.00,1.00,1.00,0.032258065,0.032258065,8.00,0.00,1.0000000000,1.7,3.3,1.3,2.7,0.1,2.2,1.3,0.3,0.00,0.5,1.2,1.8,0,1.2,1.4,33,81.6,0.1,1.7,0.1,No
25.00,2.00,2.00,0.00,0.074074074,0.0000000000,5.00,0.00,0.6,2.6,1.5,1.4,0.8,1.6,8.8,0.4,0.7,0.00,0.1,0.1,0.6,0,0.1,0,45,78.7,0,3.5,0.1,No
29.00,5.00,15.00,5.00,0.441176471,0.147058824,1.00,0.00,2.2,0.5,0.3,0.3,0.5,0.0000000000,0.1,0.1,0.0000000000,0.00,0.9,0.4,0.4,0.9,1.6,1.9,18.8,76.6,0.2,0.3,0.2,No
16.00,0.00,0.00,0.00,0.0000000000,0.0000000000,4.00,0.00,0.0875,2.9125,1.5,2425.0000000000,0.9375,775.0000000000,6.8,0.5375,1175.0000000000,0.00,0.15,0.4375,0.5,0.0875,0.35,0.15,33.1,82.9125,0,2.15,0.0875,No
36.00,7.00,18.00,3.00,0.418604651,0.069767442,6.00,2.00,2.225581395,1.313953488,1.125581395,0.637209302,0.937209302,0.0000000000,0.588372093,0.555813953,0.081395349,0.00,0.83255814,0.562790698,1.53255814,0.5,0.981395349,1.044186047,27.90465116,77.73953488,0.081395349,0.818604651,0.344186047,No
41.00,0.00,1.00,2.00,0.024390244,0.048780488,9.00,1.00,0.370731707,2.17804878,1.504878049,1.602439024,1.017073171,0.641463415,8.541463415,0.541463415,1.056097561,0.00,0.114634146,0.158536585,0.3,0.085365854,0.085365854,0.114634146,19.60243902,75.54390244,0,1.975609756,0,No
6.00,26.00,5.00,3.00,0.15625,0.09375,2.00,0.00,1.79375,1.44375,0.5,0.21875,875.0000000000,0.0000000000,0.6625,0.0000000000,0.08125,0.00,0.73125,0.3625,0.3,0.40625,0.8625,0.60625,11.1,71.375000,0,0.3375,0,No
30.00,0.00,1.00,0.00,0.033333333,0.0000000000,6.00,0.00,0.1,1.2,2.3,2.8,1.5,1.2,5.0000000000,0.6,0.7,0.00,0.2,0.6,1.5,0,0.2,0.5,41.4,91.6,0,3,0,No
22.00,11.00,18.00,7.00,0.545454545,0.212121212,3.00,0.00,2.506060606,2.0000000000,1.009090909,0.415151515,0.636363636,0.0000000000,0.715151515,0.821212121,0.078787879,0.00,1.478787879,1.136363636,1.23030303,1.163636364,1.257575758,1.493939394,26.23333333,82.17272727,0.4,0.748484848,0.157575758,No
12.00,1.00,3.00,5.00,0.230769231,0.384615385,0.00,0.00,2.8,0.2,1.5,0.9,0.6,0.1,0.8,1.1,0.0000000000,0.00,1.5,1.3,0.8,0.5,1.9,1.3,33.4,74.4,0.2,0.8,0.8,No
30.00,3.00,15.00,3.00,0.454545455,0.090909091,2.00,0.00,2.333333333,0.824242424,1.696969697,0.6,0.993939394,0.0000000000,0.23030303,0.284848485,0.0000000000,1.00,1.084848485,1.484848485,1.109090909,1.478787879,3.212121212,2.16969697,21.27272727,76.11515152,0.115151515,0.521212121,0.254545455,No
22.00,10.00,13.00,2.00,0.40625,0.0625,3.00,0.00,1.8,1.9,0.7,0.4,1.1,0.0000000000,0.3,0.2,0.2,0.00,0.9,0.5,2.1,0.5,1.1,1.3,24,69.6,0.1,0.5,0.1,No
32.00,0.00,13.00,6.00,0.40625,0.1875,7.00,0.00,2.7,2.9,0.6,0.1,3.0000000000,0.0000000000,1.3,0.1,0.3,0.00,1,0.6,1.7,1,2.7,2.1,22.2,69.3,0.1,0.4,0.2,No
13.00,15.00,2.00,1.00,0.071428571,0.035714286,0.00,0.00,1.0000000000,0.6,0.2,0.1,0.4,0.0000000000,0.1,0.1,0.0000000000,0.00,0.3,0.4,1,0.4,1.5,1.1,11,68.8,0,0.2,0,No
25.00,9.00,8.00,4.00,0.235294118,0.117647059,3.00,0.00,1.4,1.8,1.1,0.2,1.3,0.0000000000,0.5,0.3,0.1,0.00,0.8,0.4,1.7,0.6,1.4,1.9,15.6,69.7,0.2,0.7,0,No
34.00,8.00,15.00,3.00,0.357142857,0.071428571,4.00,0.00,3.161904762,0.180952381,0.480952381,0.319047619,0.738095238,0.0000000000,0.080952381,0.238095238,0.0000000000,0.00,0.823809524,0.380952381,0.738095238,0.519047619,1.257142857,1.666666667,13.45238095,84.31904762,0,0.319047619,0.161904762,No
23.00,1.00,10.00,0.00,0.416666667,0.0000000000,2.00,0.00,2.5,3.0000000000,0.9,0.3,1.8,0.0000000000,1.0000000000,0.6,0.0000000000,1.00,1.2,0.4,1.8,0.3,1.3,1.5,16.2,67.5,0,0.3,0.1,No
33.00,9.00,18.00,5.00,0.428571429,0.119047619,2.00,0.00,3.014285714,1.119047619,0.176190476,0.176190476,1.328571429,0.0000000000,0.647619048,0.2,0.023809524,0.00,0.664285714,0.711904762,2.071428571,1.711904762,1.864285714,2.447619048,19.49285714,74.76666667,0,0.576190476,0,No
45.00,10.00,22.00,7.00,0.4,0.127272727,4.00,1.00,2325.0000000000,2.530909091,0.834545455,0.256363636,1.390909091,0.0000000000,0.818181818,0.298181818,0.0000000000,0.00,1.145454545,1.3,1.318181818,0.834545455,2.101818182,2.029090909,20.37818182,73.66909091,0.332727273,0.627272727,0.081818182,No
39.00,0.00,5.00,1.00,0.128205128,0.025641026,2.00,0.00,0.425641026,1.861538462,0.487179487,0.312820513,0.725641026,0.0000000000,0.087179487,0.225641026,0.0000000000,0.00,0.848717949,0.387179487,0.725641026,0.512820513,1.238461538,1.579487179,13.27179487,84.57435897,0,0.312820513,0.174358974,No
20.00,17.00,5.00,1.00,0.135135135,0.027027027,3.00,0.00,1.527027027,0.878378378,1.172972973,0.705405405,1.008108108,0.0000000000,0.464864865,0.881081081,0.048648649,0.00,0.32972973,0.894594595,1.464864865,0.405405405,1.532432432,0.97027027,13.72972973,82.35405405,0.091891892,0.540540541,0,No
34.00,6.00,2.00,4.00,0.05,0.1,5.00,0.00,0.74,0.915000,2.7,1.4150000,1.61,0.0850000,0.63,0.53,0.015000,0.00,1.66500,1.935000,1.215000,0,1.285000,0.84,49.195000,90.735000,0,3.24,0.1,No
38.00,2.00,26.00,7.00,0.65,0.1750000,2.00,0.00,3.33,4.86,1.055000,0.615000,2.33,0.0000000000,0.87,0.81,0.085000,0.00,1.9250000,1.425000,2.94500,1.16,2.2950000,2.02,25.97,67.18,0.17,0.67,0.08500,No
10.00,0.00,1.00,1.00,0.1,0.1,2.00,0.00,0.5,2.1,2.6,1.9,0.7,0.6,5.5,0.7,0.4,0.00,0.4,0.6,1.2,0.5,0.2,0.3,34.8,83.3,0.1,3.1,0,No
26.00,0.00,7.00,3.00,0.269230769,0.115384615,7.00,0.00,2.5,0.2,3.0000000000,0.9,0.7,0.0000000000,0.2,0.7,0.0000000000,0.00,1.9,1.7,1.3,0.5,2.1,1.5,39.4,80.5,1.4,2.2,0.1,No
36.00,0.00,1.00,1.00,0.027777778,0.027777778,4.00,0.00,0.7,1.1,2.9,2.2,1.2,0.2,1.7,0.8,0.2,0.00,0.4,0.4,2.2,0,1,0.5,44.3,82.8,0,3.4,0,No
35.00,0.00,7.00,11.00,0.2,0.314285714,6.00,0.00,2.1,0.4,1.7,0.6,0.9,0.0000000000,0.2,0.7,0.1,0.00,2.3,1.9,2.9,0.1,2,0.9,40.8,79.9,1.2,1.9,0.1,No
24.00,3.00,10.00,8.00,0.37037037,0.296296296,4.00,0.00,1.9,0.3,1.0000000000,0.5,1.4,0.0000000000,0.3,0.3,0.0000000000,0.00,2.2,0.4,1,0.1,1.2,1.1,29.9,71.4,2.3,1.7,0.3,No
36.00,0.00,1.00,3.00,0.027777778,0.083333333,5.00,0.00,1.1,1.1,2.6,2.9,1.8,0.1,2.4,0.9,0.1,1.00,1.1,0.9,1,0.1,0.7,0.8,34.2,74.4,1.6,0.8,0,No
34.00,1.00,11.00,3.00,0.314285714,0.085714286,2.00,0.00,2.5,0.2,0.8,0.3,1.0000000000,0.0000000000,0.3,0.4,0.0000000000,0.00,1.1,1.2,3.1,0.6,2.9,1.9,21.3,76.8,0.6,0.9,0.1,No
29.00,0.00,1.00,0.00,0.034482759,0.0000000000,6.00,0.00,0.8,3.9,3.5,2.4,1.8,1.6,6.2,1.0000000000,0.4,0.00,0.2,1,1.8,0,0.5,0.3,38.9,79.1,0.1,4.3,0.1,No
